id,paper_name,data_description,dataset_name,query,method,answer,std_error,treatment,outcome,controls,instrument_var,running_var,temporal_var,state_var,interaction_var,is_rct,is_multirct
11,QRData,"To estimate the impacts of online class format on exam outcomes, a randomized experiment was conducted. The dataset online_classroom.csv contains exam scores of students in online classes versus face-to-face classes. Each row of the dataset contains a student's exam outcome (the variable falsexam), their classroom format (online, face-to-face, or blended), and other variables like gender and ethnicity.",online_classroom.csv,Is there any advantage to taking classes online in comparison to face-to-face or blended format in terms of exam performance? ,ols,-4.912,1.68,format_ol,falsexam,,,,,,,1,0
12,QRData,"To estimate the impact of an additional year of education on hourly wage, we look at a sample size representing individuals with varying levels of education and their hourly wages. The dataset wage.csv contains the necessary data for our analysis. The columns in this dataset include 
wage: represents the total income
hours: representing the total hours worked
hwage: wage per hour, computed by dividing total income (age) by total hours worked (hours)
educ: representing the years of education
passed_12: binary variable that is 1 if the individual has passed 12th grade, 0 otherwise
feduc: father's education in years
meduc: mother's education in years 
brthord: birth order in the family
sibs: number of siblings
urban: whether the person lives in an urban area (1) or rural (0)
south: whether the person is from the South (1) or otherwise (0)
black: whether the person's race is black (1) or other race (0)
married: whether the person is married (1) or not (0)
age: age of the person
tenure: the tenure of the person in the company where they are working
exper: number of years of work experience
IQ: the person's IQ",wage.csv,Do more years of education lead to higher log hourly wages?,ols,0.053,0.007,educ,hwage,,,,,,,0,0
13,QRData,"To estimate the impact of an additional year of education on hourly wage, we look at a sample size representing individuals with varying levels of education and their hourly wages. The dataset wage.csv contains the necessary data for our analysis. The columns in this dataset include 
wage: represents the total income
hours: representing the total hours worked
hwage: wage per hour, computed by dividing total income (age) by total hours worked (hours)
educ: representing the years of education
passed_12: binary variable that is 1 if the individual has passed 12th grade, 0 otherwise
feduc: father's education in years
meduc: mother's education in years 
brthord: birth order in the family
sibs: number of siblings
urban: whether the person lives in an urban area (1) or rural (0)
south: whether the person is from the South (1) or otherwise (0)
black: whether the person's race is black (1) or other race (0)
married: whether the person is married (1) or not (0)
age: age of the person
tenure: the tenure of the person in the company where they are working
exper: number of years of work experience
IQ: the person's IQ",wage.csv,Does an increase in years of education help increase log hourly wages when also considering other variables of interest?,ols,0.041,0.01,educ,hwage,"IQ,exper,tenure,age,married,black,south,urban,sibs,brthord,meduc,feduc",,,,,,0,0
14,QRData,"To estimate the impact of an additional year of education on hourly wage, we look at a sample size representing individuals with varying levels of education and their hourly wages. The dataset wage.csv contains the necessary data for our analysis. The columns in this dataset include 
wage: represents the total income
hours: representing the total hours worked
hwage: wage per hour, computed by dividing total income (age) by total hours worked (hours)
educ: representing the years of education
passed_12: binary variable that is 1 if the individual has passed 12th grade, 0 otherwise
feduc: father's education in years
meduc: mother's education in years 
brthord: birth order in the family
sibs: number of siblings
urban: whether the person lives in an urban area (1) or rural (0)
south: whether the person is from the South (1) or otherwise (0)
black: whether the person's race is black (1) or other race (0)
married: whether the person is married (1) or not (0)
age: age of the person
tenure: the tenure of the person in the company where they are working
exper: number of years of work experience
IQ: the person's IQ",wage.csv,What's the effect of graduating 12th grade on hourly wage?,ols,4.904,0.626,passed_12,hwage,,,,,,,0,0
15,QRData,"In a study to determine the causal effect of sending an email reminder on the repayment of debts, a fintech company conducted a randomized test involving 5000 customers who were late on their payments. Each customer was randomly assigned to either receive an email about negotiating their debt or to be part of a control group that did not receive the email. Data was collected on the amounts paid by the late customers after this intervention. The dataset collections_email.csv contains variables including the amount paid (payments), whether the email was sent (email), whether the email was opened (opened), whether the customer contacted the collections department to negotiate their debt after having received the email (agreement), the customer's credit limit before being late (credit_limit), and the customer's risk score prior to the delivery of the email (risk_score).",collections_email.csv,Does sending reminder emails have an impact on the repayment of debtswhile including suitable controls?,ols,4.43,2.13,email,payments,"credit_limit,risk_score",,,,,,1,0
16,QRData,"The dataset hospital_treatment.csv includes data from a randomized trial on a new drug to treat a certain illness. The outcome of interest is days hospitalized. If the treatment is effective, it will lower the amount of days the patient stays in the hospital. The CSV file contains columns for hospital indicating the hospital a patient belongs to, treatment signifying if the patient received the new drug or placebo, severity reflecting the severity of the illness, and days representing the number of days the patient was hospitalized.",hospital_treatment.csv,Is the new drug effective in reducing the hospital stay?,ols,-7.591,2.269,treatment,days,severity,,,,,,1,0
17,QRData,"The dataset provided, ak91.csv contains information on individuals' log wages (log_wage), years of schooling (years_of_schooling), year of birth (year_of_birth), quarter of birth (quarter_of_birth), and state of birth (state_of_birth). The purpose of the analysis is to estimate the effect of education on wage by taking advantage of US compulsory attendance law. Usually, these laws state that a child must have turned 6 years by January 1 of the year they enter school. For this reason, children who are born at the beginning of the year will enter school at an older age. Compulsory attendance law also requires students to be in school until they turn 16, at which point they are legally allowed to drop out. The result is that people born later in the year have, on average, more years of education than those born in the beginning of the year.",ak91.csv,How much more does a person earn for each extra year of education?,iv,0.085,0.026,years_of_schooling,log_wage,"year_of_birth,state_of_birth",q4,,,,,0,0
18,QRData,"A study is conducted to measure the effect of a marketing push on user engagement, specifically in-app purchases. Some customers who were assigned to receive the push did not receive it, because they probably have an older phone that doesn't support the kind of push the marketing team designed. The dataset app_engagement_push.csv contains records for 10,000 random customers. Each record includes whether an in-app purchase was made (in_app_purchase), if a marketing push was assigned to the user (push_assigned), and if the marketing push was successfully delivered (push_delivered).",app_engagement_push.csv,Did the marketing push help increase in-app purchases?,iv,3.294,0.716,push_delivered,in_app_purchase,,push_assigned,,,,,1,0
19,QRData,"To investigate the effect of a medication on the number of days it takes for a patient to recover from an illness, we have a dataset that includes several confounding variables like severity, sex, and age. The dataset medicine_impact_recovery.csv contains data on patients who were prescribed medication and those who haven't. The variables include sex (0 or 1), age, the severity of the condition, whether the patient was on medication (0 or 1), and the number of days it took for each patient to recover.",medicine_impact_recovery.csv,What is the effect of the medication on the recovery time?,matching,-7.709,0.609,medication,recovery,"severity,age,sex",,,,,,0,0
20,QRData,"The National Study of Learning Mindsets is a study conducted in U.S. public high schools that aims to find the impact of a growth mindset. The way it works is that students receive from the school a seminar to instill in them a growth mindset. Then, they follow up with the students in their college years to measure how well they've performed academically. This measurement was compiled into an achievement score and standardized. The CSV file learning_mindset.csv contains data from this observational study. Variable Description
intervention: the intervention of the growth mindset
achievement_score: the standardized academic achievement score
schoolid: identifier of the student's school
success_expect: self-reported expectations for success in the future, a proxy for prior achievement
ethnicity: categorical variable for student race/ethnicity
gender: categorical variable for student-identified gender
frst_in_family: categorical variable for student first-generation status, i.e., first in family to go to college
school_urbanicity: school-level categorical variable for urbanicity of the school, i.e., rural, suburban, etc. 
school_mindset: school-level mean of students' fixed mindsets; the values have been standardized
school_achievement: school achievement level, as measured by test scores and college preparation for the previous 4 cohorts of students; the values have been standardized  
school_ethnic_minority: school racial/ethnic minority composition, i.e., percentage of student body that is Black, Latino, or Native American, standardized
school_poverty: school poverty concentration, i.e., percentage of students who are from families whose incomes fall below the federal poverty line, standardized
school_size: total number of students in all four grade levels in the school, standardized.",learning_mindset.csv,Does participating in seminars meant for boosting growth mindset lead to better academic achievement?,ipw,0.352,0.024,intervention,achievement_score,"success_expect,frst_in_family,school_mindset,school_achievement,school_ethnic_minority,school_poverty,school_size,ethnicity_1,ethnicity_2,ethnicity_3,ethnicity_4,ethnicity_5,ethnicity_6,ethnicity_7,ethnicity_8,ethnicity_9,ethnicity_10,ethnicity_11,ethnicity_12,ethnicity_13,ethnicity_14,ethnicity_15,gender_1,gender_2,school_urbanicity_0,school_urbanicity_1,school_urbanicity_2,school_urbanicity_3,school_urbanicity_4",,,,,,0,0
21,QRData,"The dataset billboard_impact.csv details information from a quasi-experiment assessing the influence of billboards on bank deposits in two cities: Porto Alegre (treatment group) and Florianopolis (control group). The csv file contains records with three variables: deposits (average bank deposits in Brazilian Reais), poa (A dummy indicator for the city of Porto Alegre. When it is zero, it means the samples are from Florianopolis.), and jul (A dummy for the month of July, or for the post intervention period. When it is zero it refers to samples from May, the pre-intervention period)",billboard_impact.csv,Does using billboards lead to higher bank deposits?,did,6.525,5.729,poa,deposits,,,,jul,,poa:jul,0,0
22,QRData,"To estimate the impacts of alcohol on death, we could use legal drinking age laws. In the US, those just under 21 years don't drink (or drink much less) while those just older than 21 can drink. The CSV file drinking.csv contains mortality data aggregated by age. The dataset contains the following variables: 
agecell: the average age across the given cohort 
all: the average mortality across all causes 
mva: average mortality by motor vehicle accidents 
suicide: average mortality by suicide 
homicide: average mortality by homicide 
drugs: average mortality by drugs
internal: average mortality due to non-external reasons 
external: average mortality due to external reasons 
externalother: average mortality due to internal reasons 
alchohol: average mortality due to alcohol ",drinking.csv,"By how much does turning 21, the legal drinking age affect the risk of death from any cause?",rdd,7.663,1.319,,all,,,agecell,,,,0,0
23,QRData,"To estimate the effect of cigarette taxation on its consumption, data from cigarette sales were collected and analyzed across 39 states in the United States from 1970 to 2000. Proposition 99, a Tobacco Tax and Health Protection Act passed in California in 1988, imposed a 25-cent per pack state excise tax on tobacco cigarettes and implemented additional restrictions, including the ban on cigarette vending machines in public areas accessible by juveniles and a ban on the individual sale of single cigarettes. Revenue generated was allocated for environmental and health care programs, along with anti-tobacco advertising. We aim to determine if the imposition of this tax and the subsequent regulations led to a reduction in cigarette sales. The data is in the CSV file smoking2.csv. 
The columns represent: 
state: ID of the states 
year: the year 
cigsale: The total cigarette sales 
lnincome: The logarithm of the average income 
Beer: the legal drinking age in that state 
age15to24: proportion of people in the age group 15 - 24 
retprice: the retail price of the cigarettes 
california: whether or not the state is California, where the Act was passed 
after_treatment: whether the data is from the year after 1988, the year the Act was passed",smoking2.csv,Did Proposition 99 help reduce cigarette sales?,did,-27.349,10.911,california,cigsale,,,,after_treatment,,,0,0
24,QRData,"We are trying to estimate the effect of a trainee program on earnings. Data in the CSV file trainee_unique_on_age.csv contains the following columns

unit: trainee unit 
trainee: trainee status i.e. whether or not the unit participated 
age: the age of the unit 
earnings: earnings of the unit",trainee_unique_on_age.csv,How much more did people who joined the trainee program earn comparedto similar people who didn’t?,matching,2457.895,2931.921,trainees,earnings,age,,,,,,0,0
25,QRData,"We consider how much politicians can increase their personal wealth due to holding office. Scholars investigated this question by analyzing members of Parliament (MPs) in the United Kingdom. The authors of the original study collected information about personal wealth at the time of death for several hundred competitive candidates who ran for office in general elections between 1950 and 1970. The data are contained in the CSV file MPs.csv. Variable Description
surname: surname of the candidate 
firstname: first name of the candidate
party: party of the candidate (labour or tory) 
gross: log gross wealth at the time of death 
net: log net wealth at the time of death 
margin.pre: margin of the candidate's party in the previous election region: electoral region 
margin: margin of victory centered around 0 (vote share) 
yob: year of birth of the candidate 
yod: year of death of the candidate",MPs.csv,What is the effect of becoming members of Parliament on the net (log) wealthfor Tory candidates?,rdd,0.65,0.289,,net,,,margin,,,,0,0
26,QRData,"Researchers conducted a randomized policy experiment in India where, since the mid-1990s, one-third of village council heads have been randomly reserved for female politicians. The CSV data set women.csv contains a subset of this data from West Bengal. The policy was implemented at the level of government called Gram Panchayat or GP. Each GP contains many villages. For this study, two villages were selected at random within each GP for detailed data collection. Each observation in the data set represents a village, and there are two villages associated with each GP. Variable Description
GP: identifier for the Gram Panchayat (GP) 
village: identifier for each village
reserved: binary variable indicating whether the GP was reserved for women leaders or not 
female: binary variable indicating whether the GP had a female leader or not 
irrigation: variable measuring the number of new or repaired irrigation facilities in the village since the reservation policy started 
water: variable measuring the number of new or repaired drinking water facilities in the village since the reservation policy started",women.csv,Did the reservation policy lead to more new or repaired drinking water facilities in villages since it was implemented?,ols,9.252,3.948,reserved,water,,,,,,,1,0
27,QRData,"Three social scientists conducted an RCT in which they investigated whether social pressure within neighborhoods increases participation. Specifically, during a primary election in the state of Michigan, they randomly assigned registered voters to receive different get-out-the-vote (GOTV) messages and examined whether sending postcards with these messages increased turnout. The researchers exploited the fact that the turnout of individual voters is public information in the United States. The GOTV message of particular interest was designed to induce social pressure by telling voters that after the election, their neighbors would be informed about whether they voted in the election or not. The researchers hypothesized that such a naming and shaming GOTV strategy would increase participation. There are three treatment groups: Civic Duty, Hawthorne, and Neighbors. The Civic Duty group gets a message saying voting is their civic duty. The Hawthorne effect refers to the phenomenon where study subjects behave differently because they know they are being observed by researchers. Finally, the Neighbors group receives a message saying that the neighbors can become aware of whether they voted or not. The experiment also has a control group (Control), which consists of voters receiving no message. The researchers randomly assigned each voter to one of the four groups (3 types of treatment and 1 control) and examined whether the voter turnout was different across the groups. The data is in the file social.csv. Variable Description:
hhsize: household size of the voter 
messages: GOTV messages the voter received. It can be one of the three treatment groups: Civic Duty, Neighbors, Hawthorne, or the control group, Control. 
sex: sex of the voter (female or male) 
yearofbirth: year of birth of the voter
primary2004: whether the voter voted in the 2004 primary election (1=voted, 0=abstained) 
primary2006: whether the voter voted in the 2006 primary election (1=voted, 0=abstained)
age: Age of the voter ",social.csv,What is the difference in the effect of the Neighbors message on whether the voter voted in the 2006 primary election between those who voted in the 2004 primary election and those who did not?,ols,0.027,0.005,messages,primary2006,,,,,,primary2004,1,1
28,QRData,"Three social scientists conducted an RCT in which they investigated whether social pressure within neighborhoods increases participation. Specifically, during a primary election in the state of Michigan, they randomly assigned registered voters to receive different get-out-the-vote (GOTV) messages and examined whether sending postcards with these messages increased turnout. The researchers exploited the fact that the turnout of individual voters is public information in the United States. The GOTV message of particular interest was designed to induce social pressure by telling voters that after the election, their neighbors would be informed about whether they voted in the election or not. The researchers hypothesized that such a naming and shaming GOTV strategy would increase participation. There are three treatment groups: Civic Duty, Hawthorne, and Neighbors. The Civic Duty group gets a message saying voting is their civic duty. The Hawthorne effect refers to the phenomenon where study subjects behave differently because they know they are being observed by researchers. Finally, the Neighbors group receives a message saying that the neighbors can become aware of whether they voted or not. The experiment also has a control group (Control), which consists of voters receiving no message. The researchers randomly assigned each voter to one of the four groups (3 types of treatment and 1 control) and examined whether the voter turnout was different across the groups. The data is in the file social.csv. Variable Description:
hhsize: household size of the voter 
messages: GOTV messages the voter received. It can be one of the three treatment groups: Civic Duty, Neighbors, Hawthorne, or the control group, Control. 
sex: sex of the voter (female or male) 
yearofbirth: year of birth of the voter
primary2004: whether the voter voted in the 2004 primary election (1=voted, 0=abstained) 
primary2006: whether the voter voted in the 2006 primary election (1=voted, 0=abstained)
age: Age of the voter ",social.csv,What is the effect of the Neighbors message on whether the voter voted in the 2006 primary election if the voter's age was 25 in 2006?,ols,0.055,0.032,messages,primary2006,,,,,,age,1,1
29,QRData,"Three social scientists conducted an RCT in which they investigated whether social pressure within neighborhoods increases participation. Specifically, during a primary election in the state of Michigan, they randomly assigned registered voters to receive different get-out-the-vote (GOTV) messages and examined whether sending postcards with these messages increased turnout. The researchers exploited the fact that the turnout of individual voters is public information in the United States. The GOTV message of particular interest was designed to induce social pressure by telling voters that after the election, their neighbors would be informed about whether they voted in the election or not. The researchers hypothesized that such a naming and shaming GOTV strategy would increase participation. There are three treatment groups: Civic Duty, Hawthorne, and Neighbors. The Civic Duty group gets a message saying voting is their civic duty. The Hawthorne effect refers to the phenomenon where study subjects behave differently because they know they are being observed by researchers. Finally, the Neighbors group receives a message saying that the neighbors can become aware of whether they voted or not. The experiment also has a control group (Control), which consists of voters receiving no message. The researchers randomly assigned each voter to one of the four groups (3 types of treatment and 1 control) and examined whether the voter turnout was different across the groups. The data is in the file social.csv. Variable Description:
hhsize: household size of the voter 
messages: GOTV messages the voter received. It can be one of the three treatment groups: Civic Duty, Neighbors, Hawthorne, or the control group, Control. 
sex: sex of the voter (female or male) 
yearofbirth: year of birth of the voter
primary2004: whether the voter voted in the 2004 primary election (1=voted, 0=abstained) 
primary2006: whether the voter voted in the 2006 primary election (1=voted, 0=abstained)
age: Age of the voter ",social.csv,What is the effect of the Neighbors message on whether the voter voted in the 2006 primary election if the voter's age was 65 in 2006?,ols,0.079,0.029,messages,primary2006,,,,,,age,1,1
30,QRData,"The CSV file jobs_0.csv contains observational data from the National Supported Work (NSW) program. The study is designed to evaluate the effect of job training (t) on post-training income and employment status (y).
The confounders (x0–x16) include baseline characteristics such as age, years of education, race/ethnicity (Black and Hispanic indicators), marital status (binary), and high school degree attainment (binary). They also include pre-treatment earnings from 1974 and 1975. In addition, several covariates represent transformations or interactions of these base variables, such as standardized earnings, squared terms, and zero-earnings indicators.",jobs_0.csv,Does the job training program improve employment prospects?,matching,0.061,0.033,t,y,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16",,,,,,0,0
31,QRData,"The CSV file jobs_1.csv contains observational data from the National Supported Work (NSW) program. The study is designed to evaluate the effect of job training (t) on post-training income and employment status (y).
The confounders (x0–x16) include baseline characteristics such as age, years of education, race/ethnicity (Black and Hispanic indicators), marital status (binary), and high school degree attainment (binary). They also include pre-treatment earnings from 1974 and 1975. In addition, several covariates represent transformations or interactions of these base variables, such as standardized earnings, squared terms, and zero-earnings indicators.",jobs_1.csv,Does the job training program improve employment prospects?,matching,0.017,0.036,t,y,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16",,,,,,0,0
32,QRData,"The CSV file jobs_2.csv contains observational data from the National Supported Work (NSW) program. The study is designed to evaluate the effect of job training (t) on post-training income and employment status (y).
The confounders (x0–x16) include baseline characteristics such as age, years of education, race/ethnicity (Black and Hispanic indicators), marital status (binary), and high school degree attainment (binary). They also include pre-treatment earnings from 1974 and 1975. In addition, several covariates represent transformations or interactions of these base variables, such as standardized earnings, squared terms, and zero-earnings indicators.",jobs_2.csv,Does the job training program improve employment prospects?,matching,0.062,0.03,t,y,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16",,,,,,0,0
33,QRData,"The CSV file jobs_3.csv contains observational data from the National Supported Work (NSW) program. The study is designed to evaluate the effect of job training (t) on post-training income and employment status (y).
The confounders (x0–x16) include baseline characteristics such as age, years of education, race/ethnicity (Black and Hispanic indicators), marital status (binary), and high school degree attainment (binary). They also include pre-treatment earnings from 1974 and 1975. In addition, several covariates represent transformations or interactions of these base variables, such as standardized earnings, squared terms, and zero-earnings indicators.",jobs_3.csv,Does the job training program improve employment prospects?,matching,0.112,0.03,t,y,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16",,,,,,0,0
34,QRData,"The CSV file jobs_4.csv contains observational data from the National Supported Work (NSW) program. The study is designed to evaluate the effect of job training (t) on post-training income and employment status (y).
The confounders (x0–x16) include baseline characteristics such as age, years of education, race/ethnicity (Black and Hispanic indicators), marital status (binary), and high school degree attainment (binary). They also include pre-treatment earnings from 1974 and 1975. In addition, several covariates represent transformations or interactions of these base variables, such as standardized earnings, squared terms, and zero-earnings indicators.",jobs_4.csv,Does the job training program improve employment prospects?,matching,0.024,0.048,t,y,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16",,,,,,0,0
